
time 00h 01m 00s, episodes 266, steps 0.2 M, mean_epr 1.20, run_loss -5.65
time 04h 56m 03s, episodes 31997, steps 62.1 M, mean_epr 160.81, run_loss -53.64
time 04h 57m 03s, episodes 32026, steps 62.3 M, mean_epr 175.82, run_loss -52.66
time 04h 58m 03s, episodes 32051, steps 62.5 M, mean_epr 181.81, run_loss -52.03
time 04h 59m 03s, episodes 32081, steps 62.7 M, mean_epr 183.37, run_loss -52.86
time 05h 00m 03s, episodes 32107, steps 62.9 M, mean_epr 184.60, run_loss -53.88
time 05h 01m 03s, episodes 32138, steps 63.1 M, mean_epr 177.31, run_loss -57.87
time 05h 02m 03s, episodes 32168, steps 63.3 M, mean_epr 176.54, run_loss -56.94
time 05h 03m 03s, episodes 32197, steps 63.5 M, mean_epr 177.56, run_loss -57.05
time 05h 04m 03s, episodes 32225, steps 63.6 M, mean_epr 172.99, run_loss -56.44
time 05h 05m 03s, episodes 32257, steps 63.8 M, mean_epr 179.44, run_loss -54.30

	64M steps: saved model

time 05h 06m 03s, episodes 32287, steps 64.0 M, mean_epr 182.61, run_loss -50.50
time 05h 07m 03s, episodes 32313, steps 64.2 M, mean_epr 176.35, run_loss -53.28
time 05h 08m 03s, episodes 32344, steps 64.4 M, mean_epr 181.33, run_loss -50.82
time 05h 09m 03s, episodes 32375, steps 64.6 M, mean_epr 180.00, run_loss -51.19
time 05h 10m 03s, episodes 32408, steps 64.8 M, mean_epr 180.00, run_loss -49.90
time 05h 11m 03s, episodes 32433, steps 65.0 M, mean_epr 184.43, run_loss -52.80
time 05h 12m 03s, episodes 32461, steps 65.1 M, mean_epr 194.66, run_loss -52.46
time 05h 13m 03s, episodes 32488, steps 65.3 M, mean_epr 190.54, run_loss -52.42
time 05h 14m 03s, episodes 32519, steps 65.5 M, mean_epr 192.49, run_loss -48.28
time 05h 15m 03s, episodes 32549, steps 65.7 M, mean_epr 172.26, run_loss -50.81
time 05h 16m 03s, episodes 32576, steps 65.9 M, mean_epr 182.74, run_loss -49.07

	66M steps: saved model

time 05h 17m 03s, episodes 32608, steps 66.1 M, mean_epr 178.39, run_loss -50.97
time 05h 18m 03s, episodes 32637, steps 66.3 M, mean_epr 185.22, run_loss -50.66
time 05h 19m 03s, episodes 32666, steps 66.4 M, mean_epr 175.98, run_loss -51.66
time 05h 20m 03s, episodes 32697, steps 66.6 M, mean_epr 184.55, run_loss -52.99
time 05h 21m 03s, episodes 32724, steps 66.8 M, mean_epr 197.63, run_loss -51.10
time 05h 22m 03s, episodes 32756, steps 67.0 M, mean_epr 193.89, run_loss -49.94
time 05h 23m 03s, episodes 32781, steps 67.2 M, mean_epr 191.73, run_loss -50.13
time 05h 24m 03s, episodes 32810, steps 67.4 M, mean_epr 187.43, run_loss -51.19
time 05h 25m 03s, episodes 32837, steps 67.6 M, mean_epr 186.95, run_loss -50.21
time 05h 26m 03s, episodes 32866, steps 67.8 M, mean_epr 200.06, run_loss -47.56
time 05h 27m 03s, episodes 32892, steps 67.9 M, mean_epr 206.80, run_loss -49.12

	68M steps: saved model

time 05h 28m 03s, episodes 32923, steps 68.1 M, mean_epr 207.94, run_loss -46.66
time 05h 29m 03s, episodes 32947, steps 68.3 M, mean_epr 206.31, run_loss -46.71
time 05h 30m 03s, episodes 32975, steps 68.5 M, mean_epr 209.14, run_loss -46.51
time 05h 31m 03s, episodes 33001, steps 68.6 M, mean_epr 192.70, run_loss -46.86
time 05h 32m 03s, episodes 33029, steps 68.8 M, mean_epr 193.88, run_loss -47.55
time 05h 33m 03s, episodes 33056, steps 69.0 M, mean_epr 185.95, run_loss -49.75
time 05h 34m 03s, episodes 33082, steps 69.1 M, mean_epr 188.90, run_loss -48.99
time 05h 35m 03s, episodes 33104, steps 69.3 M, mean_epr 191.07, run_loss -50.64
time 05h 36m 03s, episodes 33129, steps 69.4 M, mean_epr 193.15, run_loss -52.58
time 05h 37m 04s, episodes 33152, steps 69.6 M, mean_epr 195.29, run_loss -48.11
time 05h 38m 04s, episodes 33180, steps 69.8 M, mean_epr 196.13, run_loss -50.09
time 05h 39m 04s, episodes 33201, steps 69.9 M, mean_epr 208.51, run_loss -47.89

	70M steps: saved model

time 05h 40m 04s, episodes 33228, steps 70.1 M, mean_epr 205.76, run_loss -47.92
time 05h 41m 04s, episodes 33250, steps 70.2 M, mean_epr 207.47, run_loss -47.32
time 05h 42m 04s, episodes 33273, steps 70.4 M, mean_epr 224.25, run_loss -47.07
time 05h 43m 04s, episodes 33295, steps 70.6 M, mean_epr 219.62, run_loss -48.68
time 05h 44m 04s, episodes 33320, steps 70.7 M, mean_epr 228.01, run_loss -44.71
time 05h 45m 04s, episodes 33348, steps 70.9 M, mean_epr 218.07, run_loss -42.39
time 05h 46m 04s, episodes 33376, steps 71.1 M, mean_epr 216.11, run_loss -40.92
time 05h 47m 04s, episodes 33398, steps 71.3 M, mean_epr 218.95, run_loss -43.64
time 05h 48m 04s, episodes 33428, steps 71.4 M, mean_epr 216.94, run_loss -44.29
time 05h 49m 04s, episodes 33452, steps 71.6 M, mean_epr 217.34, run_loss -47.11
time 05h 50m 04s, episodes 33480, steps 71.8 M, mean_epr 210.00, run_loss -43.67
time 05h 51m 04s, episodes 33511, steps 72.0 M, mean_epr 203.32, run_loss -45.80

	72M steps: saved model

time 05h 52m 04s, episodes 33539, steps 72.1 M, mean_epr 200.82, run_loss -46.78
time 05h 53m 04s, episodes 33565, steps 72.3 M, mean_epr 189.27, run_loss -50.76
time 05h 54m 04s, episodes 33591, steps 72.5 M, mean_epr 207.64, run_loss -50.36
time 05h 55m 04s, episodes 33614, steps 72.7 M, mean_epr 212.01, run_loss -49.79
time 05h 56m 04s, episodes 33643, steps 72.8 M, mean_epr 216.80, run_loss -48.88
time 05h 57m 04s, episodes 33667, steps 73.0 M, mean_epr 222.92, run_loss -45.21
time 05h 58m 04s, episodes 33695, steps 73.2 M, mean_epr 217.98, run_loss -46.92
time 05h 59m 04s, episodes 33725, steps 73.4 M, mean_epr 206.46, run_loss -51.34
time 06h 00m 04s, episodes 33750, steps 73.5 M, mean_epr 192.49, run_loss -53.91
time 06h 01m 04s, episodes 33777, steps 73.7 M, mean_epr 208.00, run_loss -51.18
time 06h 02m 04s, episodes 33806, steps 73.9 M, mean_epr 192.20, run_loss -53.97

	74M steps: saved model

time 06h 03m 04s, episodes 33830, steps 74.1 M, mean_epr 196.18, run_loss -51.68
time 06h 04m 04s, episodes 33859, steps 74.2 M, mean_epr 200.16, run_loss -52.18
time 06h 05m 04s, episodes 33879, steps 74.4 M, mean_epr 210.94, run_loss -51.93
time 06h 06m 04s, episodes 33909, steps 74.6 M, mean_epr 212.00, run_loss -51.14
time 06h 07m 04s, episodes 33933, steps 74.8 M, mean_epr 218.17, run_loss -34.48
time 06h 08m 04s, episodes 33955, steps 74.9 M, mean_epr 224.57, run_loss -39.82
time 06h 09m 04s, episodes 33979, steps 75.1 M, mean_epr 231.83, run_loss -39.60
time 06h 10m 04s, episodes 34006, steps 75.3 M, mean_epr 229.15, run_loss -40.11
time 06h 11m 04s, episodes 34030, steps 75.5 M, mean_epr 236.16, run_loss -42.84
time 06h 12m 04s, episodes 34056, steps 75.6 M, mean_epr 225.55, run_loss -45.42
time 06h 13m 04s, episodes 34081, steps 75.8 M, mean_epr 239.03, run_loss -46.22
time 06h 14m 04s, episodes 34105, steps 76.0 M, mean_epr 240.55, run_loss -49.44

	76M steps: saved model

time 06h 15m 04s, episodes 34131, steps 76.2 M, mean_epr 245.85, run_loss -47.66
time 06h 16m 04s, episodes 34156, steps 76.3 M, mean_epr 244.02, run_loss -45.29
time 06h 17m 04s, episodes 34180, steps 76.5 M, mean_epr 249.63, run_loss -46.91
time 06h 18m 04s, episodes 34203, steps 76.7 M, mean_epr 258.90, run_loss -45.89
time 06h 19m 04s, episodes 34225, steps 76.9 M, mean_epr 255.05, run_loss -47.14
time 06h 20m 04s, episodes 34255, steps 77.0 M, mean_epr 237.91, run_loss -47.23
time 06h 21m 04s, episodes 34274, steps 77.2 M, mean_epr 253.73, run_loss -47.93
time 06h 22m 04s, episodes 34296, steps 77.4 M, mean_epr 256.03, run_loss -47.29
time 06h 23m 04s, episodes 34319, steps 77.5 M, mean_epr 265.65, run_loss -31.52
time 06h 24m 04s, episodes 34343, steps 77.7 M, mean_epr 266.57, run_loss -32.19
time 06h 25m 04s, episodes 34365, steps 77.9 M, mean_epr 276.35, run_loss -27.07

	78M steps: saved model

time 06h 26m 04s, episodes 34389, steps 78.0 M, mean_epr 271.08, run_loss -25.51
time 06h 27m 04s, episodes 34411, steps 78.2 M, mean_epr 261.98, run_loss -27.23
time 06h 28m 04s, episodes 34437, steps 78.3 M, mean_epr 248.01, run_loss -31.28
time 06h 29m 04s, episodes 34461, steps 78.5 M, mean_epr 247.55, run_loss -38.88
time 06h 30m 04s, episodes 34491, steps 78.7 M, mean_epr 235.90, run_loss -43.01
time 06h 31m 04s, episodes 34518, steps 78.9 M, mean_epr 227.88, run_loss -45.19
time 06h 32m 04s, episodes 34540, steps 79.0 M, mean_epr 235.82, run_loss -44.65
time 06h 33m 04s, episodes 34566, steps 79.2 M, mean_epr 246.43, run_loss -47.34
time 06h 34m 04s, episodes 34592, steps 79.4 M, mean_epr 247.17, run_loss -46.37
time 06h 35m 04s, episodes 34611, steps 79.6 M, mean_epr 254.48, run_loss -48.35
time 06h 36m 04s, episodes 34641, steps 79.8 M, mean_epr 250.97, run_loss -46.87
time 06h 37m 04s, episodes 34663, steps 79.9 M, mean_epr 251.65, run_loss -32.51

	80M steps: saved model

